places=9216   b=4   r=29   d=13   w=3   n=511   l=32   m=1024   z=3
[223] 1278162803 ns 0.079943714337617 Gnodes/s ( nodes: 102181082 )
[224] 1607453529 ns 0.063567051959236 Gnodes/s ( nodes: 102181082 )
[225] 1159356178 ns 0.088136056838264 Gnodes/s ( nodes: 102181082 )
[226] 1317348255 ns 0.07756573222925 Gnodes/s ( nodes: 102181082 )
[227] 1290846854 ns 0.079158175645211 Gnodes/s ( nodes: 102181082 )
[228] 1396761297 ns 0.073155722613067 Gnodes/s ( nodes: 102181082 )
[229] 1316678029 ns 0.077605215359753 Gnodes/s ( nodes: 102181082 )
[230] 1587156907 ns 0.064379949801649 Gnodes/s ( nodes: 102181082 )
[231] 1455482639 ns 0.070204260265313 Gnodes/s ( nodes: 102181082 )
[232] 1079938558 ns 0.094617495822387 Gnodes/s ( nodes: 102181082 )
[233] 1462125724 ns 0.069885291204958 Gnodes/s ( nodes: 102181082 )
[234] 1236890758 ns 0.082611242212871 Gnodes/s ( nodes: 102181082 )
[235] 1356332045 ns 0.075336332557121 Gnodes/s ( nodes: 102181082 )
[236] 1487407178 ns 0.068697451183068 Gnodes/s ( nodes: 102181082 )
[237] 1595790326 ns 0.064031646473335 Gnodes/s ( nodes: 102181082 )
[238] 1626292051 ns 0.062830708627746 Gnodes/s ( nodes: 102181082 )
[239] 1285108122 ns 0.079511661509832 Gnodes/s ( nodes: 102181082 )
[240] 1236766886 ns 0.082619516383138 Gnodes/s ( nodes: 102181082 )
[241] 1436606363 ns 0.071126708492798 Gnodes/s ( nodes: 102181082 )
[242] 1313953969 ns 0.077766104757662 Gnodes/s ( nodes: 102181082 )
[243] 1666965000 ns 0.061297676915832 Gnodes/s ( nodes: 102181082 )
[244] 1382648785 ns 0.073902413330512 Gnodes/s ( nodes: 102181082 )
[245] 1611291732 ns 0.063415631055941 Gnodes/s ( nodes: 102181082 )
[246] 1211561233 ns 0.084338355517521 Gnodes/s ( nodes: 102181082 )
[247] 1407633234 ns 0.072590700142563 Gnodes/s ( nodes: 102181082 )
[248] 1387990282 ns 0.073618009668457 Gnodes/s ( nodes: 102181082 )
[249] 1265722984 ns 0.080729419700575 Gnodes/s ( nodes: 102181082 )
[250] 1136028503 ns 0.089945878761107 Gnodes/s ( nodes: 102181082 )
[251] 1122200950 ns 0.091054175279392 Gnodes/s ( nodes: 102181082 )
[252] 1069952221 ns 0.095500602732054 Gnodes/s ( nodes: 102181082 )
[253] 1238592222 ns 0.082497758491495 Gnodes/s ( nodes: 102181082 )
[254] 1023299358 ns 0.099854535431068 Gnodes/s ( nodes: 102181082 )
[255] 1185469074 ns 0.086194641632634 Gnodes/s ( nodes: 102181082 )
[256] 1432542750 ns 0.071328469604136 Gnodes/s ( nodes: 102181082 )
[257] 1471948222 ns 0.069418937753912 Gnodes/s ( nodes: 102181082 )
[258] 1217541204 ns 0.083924126480733 Gnodes/s ( nodes: 102181082 )
[259] 1285951927 ns 0.079459488223933 Gnodes/s ( nodes: 102181082 )
[260] 1326283005 ns 0.077043196372708 Gnodes/s ( nodes: 102181082 )
[261] 1177287709 ns 0.086793636949454 Gnodes/s ( nodes: 102181082 )
[262] 1121293752 ns 0.091127843901515 Gnodes/s ( nodes: 102181082 )
[263] 1611328935 ns 0.06341416689076 Gnodes/s ( nodes: 102181082 )
[264] 1125936987 ns 0.090752043124772 Gnodes/s ( nodes: 102181082 )
[265] 1127745201 ns 0.090606532317223 Gnodes/s ( nodes: 102181082 )
[266] 1211783050 ns 0.0843229173737 Gnodes/s ( nodes: 102181082 )
[267] 1316430828 ns 0.077619788162542 Gnodes/s ( nodes: 102181082 )
[268] 1217176315 ns 0.083949285523191 Gnodes/s ( nodes: 102181082 )
[269] 1807224371 ns 0.056540340889416 Gnodes/s ( nodes: 102181082 )
[270] 1569827296 ns 0.065090651857286 Gnodes/s ( nodes: 102181082 )
[271] 1235204039 ns 0.082724051066676 Gnodes/s ( nodes: 102181082 )
[272] 1427646781 ns 0.071573083314366 Gnodes/s ( nodes: 102181082 )
[273] 1202533514 ns 0.084971504586275 Gnodes/s ( nodes: 102181082 )
[274] 1254481950 ns 0.081452811656636 Gnodes/s ( nodes: 102181082 )
[275] 1235481176 ns 0.082705494818482 Gnodes/s ( nodes: 102181082 )
[276] 1424086823 ns 0.071752003002699 Gnodes/s ( nodes: 102181082 )
[277] 1106697316 ns 0.092329745923049 Gnodes/s ( nodes: 102181082 )
[278] 1155158019 ns 0.088456367284241 Gnodes/s ( nodes: 102181082 )
[279] 1051316912 ns 0.09719341602297 Gnodes/s ( nodes: 102181082 )
[280] 1200709988 ns 0.085100551358119 Gnodes/s ( nodes: 102181082 )
[281] 1389077419 ns 0.07356039382856 Gnodes/s ( nodes: 102181082 )
[282] 1377484685 ns 0.074179468645054 Gnodes/s ( nodes: 102181082 )
[283] 1439520865 ns 0.070982702984302 Gnodes/s ( nodes: 102181082 )
[284] 1307041794 ns 0.078177363929037 Gnodes/s ( nodes: 102181082 )
[285] 1200638432 ns 0.085105623205638 Gnodes/s ( nodes: 102181082 )
[286] 1428870588 ns 0.071511782003312 Gnodes/s ( nodes: 102181082 )
[287] 1528349606 ns 0.06685713896798 Gnodes/s ( nodes: 102181082 )
[288] 1395522624 ns 0.073220656005646 Gnodes/s ( nodes: 102181082 )
[289] 1431432991 ns 0.07138376902199 Gnodes/s ( nodes: 102181082 )
[290] 1497736957 ns 0.068223650035765 Gnodes/s ( nodes: 102181082 )
[291] 1131798609 ns 0.090282035326304 Gnodes/s ( nodes: 102181082 )
[292] 1387080168 ns 0.07366631313555 Gnodes/s ( nodes: 102181082 )
[293] 1494242722 ns 0.068383188685191 Gnodes/s ( nodes: 102181082 )
[294] 1253032270 ns 0.081547047467501 Gnodes/s ( nodes: 102181082 )
[295] 1152222652 ns 0.088681716005701 Gnodes/s ( nodes: 102181082 )
[296] 1417214267 ns 0.072099952970626 Gnodes/s ( nodes: 102181082 )
[297] 1193127256 ns 0.085641394483406 Gnodes/s ( nodes: 102181082 )
[298] 1728014535 ns 0.059132073214882 Gnodes/s ( nodes: 102181082 )
[299] 1160987355 ns 0.0880122264553 Gnodes/s ( nodes: 102181082 )
[300] 1307626115 ns 0.078142429879507 Gnodes/s ( nodes: 102181082 )
[301] 1252124210 ns 0.081606186657792 Gnodes/s ( nodes: 102181082 )
[302] 1383850565 ns 0.073838234115979 Gnodes/s ( nodes: 102181082 )
[303] 1210624432 ns 0.084403617917402 Gnodes/s ( nodes: 102181082 )
[304] 1451384843 ns 0.0704024728471 Gnodes/s ( nodes: 102181082 )
[305] 1352779510 ns 0.075534173340636 Gnodes/s ( nodes: 102181082 )
[306] 1535390690 ns 0.066550541608403 Gnodes/s ( nodes: 102181082 )
[307] 1148429534 ns 0.088974620536013 Gnodes/s ( nodes: 102181082 )
[308] 1541135055 ns 0.066302483788483 Gnodes/s ( nodes: 102181082 )
[309] 1362706497 ns 0.074983925170205 Gnodes/s ( nodes: 102181082 )
[310] 1522345025 ns 0.06712084338437 Gnodes/s ( nodes: 102181082 )
[311] 1228283853 ns 0.083190120712268 Gnodes/s ( nodes: 102181082 )
[312] 1387601696 ns 0.073638625763109 Gnodes/s ( nodes: 102181082 )
[313] 1390440664 ns 0.073488272204329 Gnodes/s ( nodes: 102181082 )
[314] 1670333657 ns 0.061174054400318 Gnodes/s ( nodes: 102181082 )
[315] 1349621496 ns 0.075710917692734 Gnodes/s ( nodes: 102181082 )
[316] 1155528260 ns 0.088428025118139 Gnodes/s ( nodes: 102181082 )
[317] 1356682395 ns 0.075316877683815 Gnodes/s ( nodes: 102181082 )
[318] 1470208105 ns 0.069501101002297 Gnodes/s ( nodes: 102181082 )
[319] 1310664952 ns 0.077961253060195 Gnodes/s ( nodes: 102181082 )
[320] 1299867327 ns 0.078608854825074 Gnodes/s ( nodes: 102181082 )
[321] 1211319747 ns 0.084355169023757 Gnodes/s ( nodes: 102181082 )
[322] 1312491054 ns 0.077852783596954 Gnodes/s ( nodes: 102181082 )
[323] 1492691430 ns 0.068454256483539 Gnodes/s ( nodes: 102181082 )
[324] 1403366269 ns 0.072811413710842 Gnodes/s ( nodes: 102181082 )
[325] 1532831567 ns 0.066661650372966 Gnodes/s ( nodes: 102181082 )
[326] 1237872648 ns 0.082545714347184 Gnodes/s ( nodes: 102181082 )
[327] 1480853489 ns 0.069001479727074 Gnodes/s ( nodes: 102181082 )
[328] 1252023138 ns 0.081612774475738 Gnodes/s ( nodes: 102181082 )
[329] 1079107414 ns 0.094690371574076 Gnodes/s ( nodes: 102181082 )
[330] 1340093805 ns 0.076249201077383 Gnodes/s ( nodes: 102181082 )
[331] 1092956885 ns 0.093490496653946 Gnodes/s ( nodes: 102181082 )
[332] 1482579123 ns 0.06892116610494 Gnodes/s ( nodes: 102181082 )
[333] 1378699713 ns 0.074114095358487 Gnodes/s ( nodes: 102181082 )
[334] 1263757602 ns 0.080854969211097 Gnodes/s ( nodes: 102181082 )
[335] 1427418718 ns 0.071584518762069 Gnodes/s ( nodes: 102181082 )
[336] 1312430583 ns 0.077856370709094 Gnodes/s ( nodes: 102181082 )
[337] 1398750870 ns 0.073051666448651 Gnodes/s ( nodes: 102181082 )
[338] 1554874538 ns 0.065716608962826 Gnodes/s ( nodes: 102181082 )
[339] 1268588459 ns 0.080547068889896 Gnodes/s ( nodes: 102181082 )
[340] 1803013747 ns 0.056672380989894 Gnodes/s ( nodes: 102181082 )
[341] 1045493998 ns 0.097734738023814 Gnodes/s ( nodes: 102181082 )
[342] 1097319560 ns 0.093118801235986 Gnodes/s ( nodes: 102181082 )
[343] 1428198420 ns 0.071545438343224 Gnodes/s ( nodes: 102181082 )
[344] 1163714658 ns 0.087805959388371 Gnodes/s ( nodes: 102181082 )
